film_id,country_id
flm0000392,ctr000001
flm0000393,ctr000001
flm0000394,ctr000001
flm0000395,ctr000001
flm0000396,ctr000001
flm0000397,ctr000001
flm0000398,ctr000001
flm0000399,ctr000001
flm0000400,ctr000001
flm0000401,ctr000001
flm0000402,ctr000001
flm0000403,ctr000001
flm0000404,ctr000001
flm0000405,ctr000001
flm0000406,ctr000001
flm0000407,ctr000001
flm0000408,ctr000001
flm0000409,ctr000001
flm0000410,ctr000001
flm0000411,ctr000001
flm0000412,ctr000001
flm0000413,ctr000001
flm0000414,ctr000001
flm0000415,ctr000001
flm0000416,ctr000001
flm0000417,ctr000001
flm0000418,ctr000001
flm0000419,ctr000001
flm0000420,ctr000001
flm0000421,ctr000001
flm0000422,ctr000001
flm0000423,ctr000001
flm0000425,ctr000001
flm0000426,ctr000001
flm0000427,ctr000001
flm0000428,ctr000001
flm0000429,ctr000001
flm0000430,ctr000001
flm0000431,ctr000001
flm0000432,ctr000001
flm0000434,ctr000001
flm0000435,ctr000001
flm0000436,ctr000001
flm0000437,ctr000001
flm0000438,ctr000001
flm0000439,ctr000001
flm0000440,ctr000001
flm0000441,ctr000001
flm0000442,ctr000001
flm0000443,ctr000001
flm0000444,ctr000001
flm0000445,ctr000001
flm0000446,ctr000001
flm0000447,ctr000001
flm0000448,ctr000001
flm0000449,ctr000001
flm0000450,ctr000001
flm0000451,ctr000001
flm0000452,ctr000001
flm0000453,ctr000001
flm0000454,ctr000001
flm0000455,ctr000001
flm0000456,ctr000001
flm0000458,ctr000001
flm0000459,ctr000001
flm0000460,ctr000001
flm0000461,ctr000001
flm0000462,ctr000001
flm0000463,ctr000001
flm0000464,ctr000001
flm0000465,ctr000001
flm0000466,ctr000001
flm0000467,ctr000001
flm0000468,ctr000001
flm0000469,ctr000001
flm0000470,ctr000001
flm0000471,ctr000001
flm0000472,ctr000001
flm0000473,ctr000001
flm0000474,ctr000001
flm0000475,ctr000001
flm0000476,ctr000001
flm0000477,ctr000001
flm0000478,ctr000001
flm0000480,ctr000001
flm0000481,ctr000001
flm0000482,ctr000001
flm0000483,ctr000001
flm0000484,ctr000001
flm0000485,ctr000001
flm0000486,ctr000001
flm0000487,ctr000001
flm0000488,ctr000001
flm0000489,ctr000001
flm0000490,ctr000001
flm0000491,ctr000001
flm0000492,ctr000001
flm0000493,ctr000001
flm0000494,ctr000001
flm0000495,ctr000001
flm0000496,ctr000001
flm0000497,ctr000001
flm0000498,ctr000001
flm0000499,ctr000001
flm0000500,ctr000001
flm0000501,ctr000001
flm0000502,ctr000001
flm0000503,ctr000001
flm0000504,ctr000001
flm0000505,ctr000001
flm0000506,ctr000001
flm0000508,ctr000001
flm0000509,ctr000001
flm0000510,ctr000001
flm0000511,ctr000001
flm0000512,ctr000001
flm0000513,ctr000001
flm0000514,ctr000001
flm0000515,ctr000001
flm0000516,ctr000001
flm0000517,ctr000001
flm0000518,ctr000001
flm0000519,ctr000001
flm0000520,ctr000001
flm0000521,ctr000001
flm0000522,ctr000001
flm0000523,ctr000001
flm0000524,ctr000001
flm0000525,ctr000001
flm0000526,ctr000001
flm0000527,ctr000001
flm0000528,ctr000001
flm0000529,ctr000001
flm0000530,ctr000001
flm0000531,ctr000001
flm0000532,ctr000001
flm0000533,ctr000001
flm0000534,ctr000001
flm0000535,ctr000001
flm0000536,ctr000001
flm0000537,ctr000001
flm0000538,ctr000001
flm0000539,ctr000001
flm0000540,ctr000001
flm0000541,ctr000001
flm0000542,ctr000001
flm0000543,ctr000001
flm0000544,ctr000001
flm0000545,ctr000001
flm0000546,ctr000001
flm0000547,ctr000001
flm0000548,ctr000001
flm0000549,ctr000001
flm0000550,ctr000001
flm0000551,ctr000001
flm0000552,ctr000001
flm0000553,ctr000001
flm0000554,ctr000001
flm0000555,ctr000001
flm0000556,ctr000001
flm0000557,ctr000001
flm0000558,ctr000001
flm0000559,ctr000001
flm0000560,ctr000001
flm0000561,ctr000001
flm0000562,ctr000001
flm0000563,ctr000001
flm0000564,ctr000001
flm0000565,ctr000001
flm0000566,ctr000001
flm0000567,ctr000001
flm0000568,ctr000001
flm0000569,ctr000001
flm0000570,ctr000001
flm0000571,ctr000001
flm0000572,ctr000001
flm0000573,ctr000001
flm0000574,ctr000001
flm0000575,ctr000001
flm0000576,ctr000001
flm0000577,ctr000001
flm0000578,ctr000001
flm0000579,ctr000001
flm0000580,ctr000001
flm0000581,ctr000001
flm0000582,ctr000001
flm0000583,ctr000001
flm0000584,ctr000001
flm0000585,ctr000001
flm0000586,ctr000001
flm0000587,ctr000001
flm0000588,ctr000001
flm0000589,ctr000001
flm0000590,ctr000001
flm0000592,ctr000001
flm0000593,ctr000001
flm0000594,ctr000001
flm0000595,ctr000001
flm0000596,ctr000001
flm0000597,ctr000001
flm0000598,ctr000001
flm0000599,ctr000001
flm0000600,ctr000001
flm0000601,ctr000001
flm0000602,ctr000001
flm0000603,ctr000001
flm0000604,ctr000001
flm0000605,ctr000001
flm0000606,ctr000001
flm0000607,ctr000001
flm0000608,ctr000001
flm0000609,ctr000001
flm0000610,ctr000001
flm0000611,ctr000001
flm0000612,ctr000001
flm0000613,ctr000001
flm0000614,ctr000001
flm0000615,ctr000001
flm0000616,ctr000001
flm0000617,ctr000001
flm0000618,ctr000001
flm0001447,ctr000001
flm0000619,ctr000001
flm0000620,ctr000001
flm0000621,ctr000001
flm0000622,ctr000001
flm0000623,ctr000001
flm0000624,ctr000001
flm0000625,ctr000001
flm0000626,ctr000001
flm0000627,ctr000001
flm0000629,ctr000001
flm0000630,ctr000001
flm0000631,ctr000001
flm0000632,ctr000001
flm0000633,ctr000001
flm0000634,ctr000001
flm0000635,ctr000001
flm0000636,ctr000001
flm0000637,ctr000001
flm0000638,ctr000001
flm0000639,ctr000001
flm0000640,ctr000001
flm0000642,ctr000001
flm0000643,ctr000001
flm0000644,ctr000001
flm0000646,ctr000001
flm0000647,ctr000001
flm0000648,ctr000001
flm0000649,ctr000001
flm0000650,ctr000001
flm0000651,ctr000001
flm0000652,ctr000001
flm0000653,ctr000001
flm0000654,ctr000001
flm0000655,ctr000001
flm0000656,ctr000001
flm0000657,ctr000001
flm0000658,ctr000001
flm0000659,ctr000001
flm0000660,ctr000001
flm0000661,ctr000001
flm0000662,ctr000001
flm0000663,ctr000001
flm0000664,ctr000001
flm0000666,ctr000001
flm0000667,ctr000001
flm0000668,ctr000001
flm0000669,ctr000001
flm0000670,ctr000001
flm0000671,ctr000001
flm0000672,ctr000001
flm0000673,ctr000001
flm0000674,ctr000001
flm0000675,ctr000001
flm0000677,ctr000001
flm0000678,ctr000001
flm0000679,ctr000001
flm0000680,ctr000001
flm0000682,ctr000001
flm0000684,ctr000001
flm0000685,ctr000001
flm0000686,ctr000001
flm0000687,ctr000001
flm0000688,ctr000001
flm0000689,ctr000001
flm0000690,ctr000001
flm0000692,ctr000001
flm0000693,ctr000001
flm0000694,ctr000001
flm0000695,ctr000001
flm0000696,ctr000001
flm0000697,ctr000001
flm0000698,ctr000001
flm0000699,ctr000001
flm0000701,ctr000001
flm0000702,ctr000001
flm0000703,ctr000001
flm0000704,ctr000001
flm0000705,ctr000001
flm0000706,ctr000001
flm0000707,ctr000001
flm0000708,ctr000001
flm0000709,ctr000001
flm0000710,ctr000001
flm0000711,ctr000001
flm0000712,ctr000001
flm0000713,ctr000001
flm0000714,ctr000001
flm0000715,ctr000001
flm0000716,ctr000001
flm0000717,ctr000001
flm0000720,ctr000001
flm0000721,ctr000001
flm0000722,ctr000001
flm0000723,ctr000001
flm0000724,ctr000001
flm0000725,ctr000001
flm0000726,ctr000001
flm0000727,ctr000001
flm0000728,ctr000001
flm0000729,ctr000001
flm0000732,ctr000001
flm0000733,ctr000001
flm0000734,ctr000001
flm0000735,ctr000001
flm0000736,ctr000001
flm0000737,ctr000001
flm0000738,ctr000001
flm0000740,ctr000001
flm0000741,ctr000001
flm0000742,ctr000001
flm0000743,ctr000001
flm0000744,ctr000001
flm0000745,ctr000001
flm0000747,ctr000001
flm0000748,ctr000001
flm0000749,ctr000001
flm0000750,ctr000001
flm0000751,ctr000001
flm0000752,ctr000001
flm0000753,ctr000001
flm0000754,ctr000001
flm0000755,ctr000001
flm0000756,ctr000001
flm0000757,ctr000001
flm0000758,ctr000001
flm0000759,ctr000001
flm0000760,ctr000001
flm0000761,ctr000001
flm0000764,ctr000001
flm0000765,ctr000001
flm0000766,ctr000001
flm0000767,ctr000001
flm0000768,ctr000001
flm0000770,ctr000001
flm0000771,ctr000001
flm0000772,ctr000001
flm0000774,ctr000001
flm0000775,ctr000001
flm0000776,ctr000001
flm0000777,ctr000001
flm0000780,ctr000001
flm0000781,ctr000001
flm0000783,ctr000001
flm0000784,ctr000001
flm0000785,ctr000001
flm0000786,ctr000001
flm0000789,ctr000001
flm0000790,ctr000001
flm0000791,ctr000001
flm0000792,ctr000001
flm0000793,ctr000001
flm0000794,ctr000001
flm0000796,ctr000001
flm0000799,ctr000001
flm0000800,ctr000001
flm0000801,ctr000001
