title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Броненосец Потемкин,tt0015648,flm0001009,https://www.imdb.com/title/tt0015648/,,,,,,
Czarci zleb,tt0042368,flm0001010,https://www.imdb.com/title/tt0042368/,,,,,,
Zhong Hua nu er,tt0348493,flm0001011,https://www.imdb.com/title/tt0348493/,,,,,,
Корейские артисты в Москве,,flm0001012,,,,,,,
На кубанской земле,,flm0001013,,,,,,,
Посланцы польских крестьян на Украине,,flm0001014,,,,,,,
Путь к победе,,flm0001015,,,,,,,
Дни отдыха,,flm0001016,,,,,,,
Дума про казака Голоту,tt0128953,flm0001017,https://www.imdb.com/title/tt0128953/,,,,,,
Revolucni rok 1848,tt0152184,flm0001018,https://www.imdb.com/title/tt0152184/,,,,,,
Советский народ голосует за мир,,flm0001019,,,,,,,
Die blauen Schwerter,tt0236025,flm0001020,https://www.imdb.com/title/tt0236025/,,,,,,
Русский свет,,flm0001021,,,,,,,
Секретная миссия,tt0175148,flm0001022,https://www.imdb.com/title/tt0175148/,,,,,,
Днепр,,flm0001023,,,,,,,
Встреча легкоатлетов СССР-Венгрия,,flm0001024,,,,,,,
Dva ohne,tt0461768,flm0001025,https://www.imdb.com/title/tt0461768/,,,,,,
Смелые люди,tt0042977,flm0001026,https://www.imdb.com/title/tt0042977/,,,,,,
В гостях у советских колхозников,,flm0001027,,,,,,,
Спортсмены Советской Армии,,flm0001028,,,,,,,
Guang mang wan zhang,tt9485306,flm0001029,https://www.imdb.com/title/tt9485306/,,,,,,
Советское черноморье,,flm0001030,,,,,,,
Wiener Mädeln,tt0042043,flm0001031,https://www.imdb.com/title/tt0042043/,,,,,,
Воронежский заповедник,,flm0001032,,,,,,,
На поиски динозавров,,flm0001033,,,,,,,
Орошение в центрально-черноземных областях,,flm0001034,,,,,,,
Der Auftrag Höglers,tt0042214,flm0001035,https://www.imdb.com/title/tt0042214/,,,,,,
Pagliacci - Amore tragico,tt0039691,flm0001036,https://www.imdb.com/title/tt0039691/,,,,,,
Wu xing de zhan xian,tt3399796,flm0001037,https://www.imdb.com/title/tt3399796/,,,,,,
Immer bereit,tt0322726,flm0001038,https://www.imdb.com/title/tt0322726/,,,,,,
Великая сила,tt0041427,flm0001039,https://www.imdb.com/title/tt0041427/,,,,,,
Kalin orelat,tt0305717,flm0001040,https://www.imdb.com/title/tt0305717/,,,,,,
Живопись Шишкина,,flm0001041,,,,,,,
Соревнование сильнейших,,flm0001042,,,,,,,
Художник Федотов,,flm0001043,,,,,,,
Победа китайского народа,tt0396813,flm0001044,https://www.imdb.com/title/tt0396813/,,,,,,
За мир во всем мире,,flm0001045,,,,,,,
Новости сельского хозяйства 1950 г.,,flm0001046,,,,,,,
Der Rat der Götter,tt0042877,flm0001047,https://www.imdb.com/title/tt0042877/,,,,,,
В Ясной поляне,,flm0001048,,,,,,,
Новости сельского хозяйства № 2 1950 г.,,flm0001049,,,,,,,
Clochemerle,tt0040236,flm0001050,https://www.imdb.com/title/tt0040236/,,,,,,
Мастера шелковых тканей,,flm0001051,,,,,,,
По Чусовой,,flm0001052,,,,,,,
XXXIII Октябрь,,flm0001053,,,,,,,
Мусоргский,tt0042765,flm0001054,https://www.imdb.com/title/tt0042765/,,,,,,
На кубок СССР по футболу,,flm0001055,,,,,,,
Освобожденный Китай,tt0042785,flm0001056,https://www.imdb.com/title/tt0042785/,,,,,,
Поднятая целина,tt0031802,flm0001057,https://www.imdb.com/title/tt0031802/,,,,,,
L'elisir d'amore,tt0038508,flm0001058,https://www.imdb.com/title/tt0038508/,,,,,,
Mr. Smith Goes to Washington,tt0031679,flm0001059,https://www.imdb.com/title/tt0031679/,,,,,,
Колхозные физкультурники,,flm0001060,,,,,,,
Новый стадион,,flm0001061,,,,,,,
Чудесная лаборатория,,flm0001062,,,,,,,
Далеко от Москвы,tt0042371,flm0001063,https://www.imdb.com/title/tt0042371/,,,,,,
Демократическая Германия,,flm0001064,,,,,,,
Эльбрус,,flm0001065,,,,,,,
Архитектор Матвей Казаков,,flm0001066,,,,,,,
Пенаты,,flm0001067,,,,,,,
Киносборник цветных мультипликационных фильмов № 27 1951 г.,,flm0001068,,,,,,,
Mr. Deeds Goes to Town,tt0027996,flm0001069,https://www.imdb.com/title/tt0027996/,,,,,,
Новости сельского хозяйства № 3 1951 г.,,flm0001070,,,,,,,
Past,tt0169118,flm0001071,https://www.imdb.com/title/tt0169118/,,,,,,
Свердловск и его окрестности,,flm0001072,,,,,,,
На севере уральской Тайги,,flm0001073,,,,,,,
Весна в Сакене,tt0234984,flm0001074,https://www.imdb.com/title/tt0234984/,,,,,,
Valley of the Sun,tt0035502,flm0001075,https://www.imdb.com/title/tt0035502/,,,,,,
По Северной Буковине,,flm0001076,,,,,,,
По кавказскому заповеднику,,flm0001077,,,,,,,
Viva Villa!,tt0025948,flm0001078,https://www.imdb.com/title/tt0025948/,,,,,,
Priehrada,tt0250669,flm0001079,https://www.imdb.com/title/tt0250669/,,,,,,
Северная Осетия,,flm0001080,,,,,,,
