title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
Георгий Саакадзе 2 серия,tt0034781,flm0000012,https://www.imdb.com/title/tt0034781/,"[('nm0157102', 'Mikheil Chiaureli')]","[('nm0031481', 'Anna Antonovskaya'), ('nm0161601', 'Boris Chyornyj')]","[('nm0500807', 'Zura Lejava'), ('nm0438816', 'Kokhta Karalashvili'), ('nm0046528', 'Spartak Bagashvili'), ('nm0451815', 'Akaki Khorava'), ('nm0229250', 'Aleksandre Jorjoliani'), ('nm0038393', 'Liana Asatiani'), ('nm0463761', 'Merab Kokochashvili'), ('nm0789546', 'Giorgi Shavgulidze'), ('nm0837734', 'Dimitri Sukhitashvili-Gldaneli'), ('nm0648410', 'Aleksandre Omiadze'), ('nm0303692', 'Shalva Gambashidze'), ('nm0027911', 'Veriko Anjaparidze'), ('nm0583874', 'Guguli Mgeladze'), ('nm0788711', 'Gaioz Sharashidze'), ('nm0541162', 'Nikoloz Mamulashvili'), ('nm0532550', 'Kirile Macharadze'), ('nm0229111', 'Medea Japaridze'), ('nm0953314', 'Sergo Zakariadze')]",['SUHH'],184,['1942']
Девушка спешит на свидание,tt0027522,flm0000013,https://www.imdb.com/title/tt0027522/,"[('nm0796541', 'Sergei Sidelyov'), ('nm0894551', 'Mikhail Verner')]","[('nm0518108', 'Vasili Lokot')]","[('nm0744618', 'Mikhail Rostovtsev'), ('nm0326767', 'Yevgeniya Golynchik'), ('nm0467507', 'Andrei Kostrichkin'), ('nm0324620', 'Pyotr Gofman'), ('nm7672865', 'Arnold Arnold'), ('nm0687748', 'Evgeniya Plyuto'), ('nm0032538', 'Andrei Apsolon'), ('nm0677674', 'Boris Petker'), ('nm0747496', 'Mikhail Rozanov'), ('nm0052786', 'Mariya Barabanova'), ('nm0443508', 'Stepan Kayukov'), ('nm0556338', 'Erna Mashkevich'), ('nm0313794', 'Georgiy Georgiu'), ('nm0443619', 'Vladimir Kazarinov'), ('nm0082003', 'Iona Biy-Brodskiy'), ('nm1452498', 'Aleksandra Matveeva'), ('nm0073092', 'Aleksandr Benyaminov'), ('nm0834274', 'Vera Streshnyova')]",['SUHH'],65,['1936']
На границе,tt0030489,flm0000014,https://www.imdb.com/title/tt0030489/,"[('nm0412017', 'Aleksandr Ivanov')]","[('nm0667698', 'Pyotr Pavlenko'), ('nm0412017', 'Aleksandr Ivanov')]","[('nm0476791', 'Nikolay Kuzmin'), ('nm0307435', 'Erast Garin'), ('nm0878688', 'Elena Tyapkina'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm11419854', 'Fayvish Arones'), ('nm11419844', 'Nikolay Kondratyev'), ('nm0625843', 'Evgeniy Nemchenko'), ('nm0631640', 'Pyotr Nikashin'), ('nm11419856', 'Timofey Remizov'), ('nm11419830', 'Vsevolod Semonov'), ('nm0585270', 'Nikolai Michurin'), ('nm11419855', 'Aleksandr Nefedov'), ('nm11389094', 'Ivan Nevolin'), ('nm10528022', 'Nikolai Gorodnichev'), ('nm0492257', 'Yuri Lavrov'), ('nm0299540', 'Zoya Fyodorova'), ('nm0472989', 'Stepan Krylov'), ('nm0899049', 'Nikolay Vinogradov')]",['SUHH'],94,['1938']
Поединок,tt0037914,flm0000015,https://www.imdb.com/title/tt0037914/,"[('nm0499407', 'Vladimir Legoshin')]","[('nm0790920', 'Lev Sheynin'), ('nm1718042', 'Leonid Tur'), ('nm0876826', 'Pyotr Tur')]","[('nm0097479', 'Nadezhda Borskaya'), ('nm0878390', 'Andrey Tutyshkin'), ('nm0008312', 'Omar Abdulov'), ('nm0539742', 'Nadir Malishevsky'), ('nm0340822', 'Aleksey Gribov'), ('nm0693963', 'Mikhail Povolotsky'), ('nm1717585', 'Irina Mesnonkina'), ('nm0069415', 'Vladimir Belokurov'), ('nm0953621', 'Anna Zarzhitskaya'), ('nm0525750', 'Sergei Lukyanov'), ('nm0019712', 'Nina Alisova')]",['SUHH'],73,['1945']
Воздушный извозчик,tt0037353,flm0000016,https://www.imdb.com/title/tt0037353/,"[('nm0710888', 'Gerbert Rappaport')]","[('nm0678205', 'Yevgeni Petrov')]","[('nm0332889', 'Tatyana Govorkova'), ('nm11153032', 'Nikolai Stepanov'), ('nm0780357', 'Vladimir Shishkin'), ('nm0787041', 'Lyudmila Shabalina'), ('nm0874899', 'Lyudmila Tselikovskaya'), ('nm0955541', 'Mikhail Zharov'), ('nm0750144', 'Aleksandr Rumnev'), ('nm0088484', 'Boris Blinov'), ('nm0815122', 'Konstantin Sorokin'), ('nm0340816', 'Vladimir Gribkov'), ('nm0476843', 'Mikhail Kuznetsov'), ('nm0159594', 'Grigoriy Shpigel'), ('nm0667813', 'Anna Pavlova')]",['SUHH'],74,['1943']
Нашествие,tt0037937,flm0000017,https://www.imdb.com/title/tt0037937/,"[('nm0740282', 'Abram Room')]","[('nm0158189', 'Boris Chirskov'), ('nm0503088', 'Leonid Leonov')]","[('nm0884619', 'Valeryan Valerskiy'), ('nm0039932', 'Svyatoslav Astafyev'), ('nm0787041', 'Lyudmila Shabalina'), ('nm0258336', 'Mikhail Eppelbaum'), ('nm0955718', 'Olga Zhizneva'), ('nm0340164', 'Vladimir Gremin'), ('nm0889140', 'Vasili Vanin'), ('nm0607711', 'Zinaida Morskaya'), ('nm0049465', 'Vladimir Balashov'), ('nm0415991', 'Oleg Zhakov'), ('nm0322271', 'Lyudmila Glazova'), ('nm0159594', 'Grigoriy Shpigel'), ('nm0667813', 'Anna Pavlova')]",['SUHH'],100,['1945']
Я - черноморец,tt2651000,flm0000018,https://www.imdb.com/title/tt2651000/,"[('nm0532591', 'Aleksandr Macheret'), ('nm0105874', 'Vladimir Braun')]","[('nm0813528', 'Leonid Solovyov')]","[('nm0410874', 'Fyodor Ishchenko'), ('nm0459322', 'Hans Klering'), ('nm0816290', 'Andrei Sova'), ('nm11967956', 'Aleksandra Lyutova'), ('nm0028308', 'Boris Andreyev'), ('nm5485295', 'Vladimir Vyazemskiy'), ('nm5485919', 'B. Goloskov'), ('nm0340816', 'Vladimir Gribkov'), ('nm0807012', 'Anatoliy Smiranin'), ('nm0475922', 'Georgiy Kurovskiy'), ('nm0256143', 'Larisa Yemelyantseva')]",[],72,['1944']
Разгром Юденича,tt0034084,flm0000019,https://www.imdb.com/title/tt0034084/,"[('nm0678210', 'Pavel Petrov-Bytov')]","[('nm0624048', 'Vladimir Nedobrovo'), ('nm0117375', 'Nikolai Brykin')]","[('nm0578197', 'Aleksandr Melnikov'), ('nm0475922', 'Georgiy Kurovskiy'), ('nm0299548', 'Boris Feodosyev'), ('nm0443710', 'Serafim Kozminskiy'), ('nm0456396', 'Elena Kirillova'), ('nm0472551', 'Ursula Krug'), ('nm0156367', 'Vladimir Chestnokov'), ('nm0155005', 'Aleksandr Chekayevskiy'), ('nm0306723', 'Vladimir Gardin'), ('nm1854675', 'Fyodor Fedorovskiy'), ('nm0028933', 'Pyotr Andriyevsky'), ('nm0755938', 'Vasili Sofronov'), ('nm0011581', 'Konstantin Adashevsky'), ('nm1229236', 'Aleksandr Violinov'), ('nm0585269', 'Gennadiy Michurin'), ('nm0804704', 'Konstantin Skorobogatov'), ('nm5773452', 'Evgeniy Grigorev'), ('nm0434387', 'Pavel Kadochnikov')]",['SUHH'],69,['1941']
Морской пост,tt6027678,flm0000020,https://www.imdb.com/title/tt6027678/,"[('nm0327212', 'Vladimir Gonchukov')]","[('nm8408465', 'Lev Linkov')]","[('nm0411919', 'Nikolay Ivakin'), ('nm7580233', 'Aleksandr Lutsenko'), ('nm0946519', 'Mariya Yarotskaya'), ('nm0637222', 'Ivan Novoseltsev'), ('nm1181809', 'Vasili Lyudvinsky'), ('nm0034143', 'Pyotr Arzhanov'), ('nm11395878', 'Nikolay Trofimov'), ('nm0904492', 'Daniil Vvedenskiy'), ('nm11420316', 'R. Pak'), ('nm0881555', 'Vladimir Uralskiy'), ('nm1143139', 'Ivan Yudin'), ('nm11420315', 'A. Aergardt'), ('nm11420313', 'Galina Yumasheva'), ('nm11420314', 'I. Rozhnyatovskiy')]",['SUHH'],75,['1938']
Sun Valley Serenade,tt0034241,flm0000021,https://www.imdb.com/title/tt0034241/,"[('nm0401680', 'H. Bruce Humberstone')]","[('nm0517567', 'Helen Logan'), ('nm0000252', 'Robert Ellis'), ('nm0037734', 'Art Arthur')]","[('nm1375171', 'Glenn Miller and His Orchestra'), ('nm1235065', 'Claud Allred'), ('nm0377012', 'Sonja Henie'), ('nm0242735', 'Ralph Dunn'), ('nm0001895', 'Glenn Miller'), ('nm0204843', 'Joan Davis'), ('nm0203527', 'William B. Davidson'), ('nm0054609', 'Lynn Bari'), ('nm1166649', 'The Nicholas Brothers'), ('nm0018410', 'Ernie Alexander'), ('nm0018548', 'Kenneth Alexander'), ('nm0167364', 'Chester Clute'), ('nm0785929', 'Almira Sessions'), ('nm0022428', 'Trigger Alpert'), ('nm0199268', 'Dorothy Dandridge'), ('nm0749540', 'Mel Ruick'), ('nm0000926', 'Milton Berle'), ('nm0668361', 'John Payne')]",['US'],86,['1941']
В шесть часов вечера после войны,tt0037423,flm0000022,https://www.imdb.com/title/tt0037423/,"[('nm0701576', 'Ivan Pyrev')]","[('nm0348854', 'Viktor Gusev')]","[('nm0615491', 'Irina Murzayeva'), ('nm0200229', 'Aleksandra Danilova'), ('nm0332889', 'Tatyana Govorkova'), ('nm0031446', 'Aleksandr Antonov'), ('nm0605201', 'Evgeniy Morgunov'), ('nm0529236', 'Ariadna Lysak'), ('nm0700127', 'Mikhail Pugovkin'), ('nm0783979', 'Lyudmila Semyonova'), ('nm0480651', 'Marina Ladynina'), ('nm0955544', 'Margarita Zharova'), ('nm0759963', 'Evgeniy Samoylov'), ('nm0472989', 'Stepan Krylov'), ('nm0767803', 'Yelena Savitskaya'), ('nm0054718', 'Tatyana Barysheva'), ('nm0529385', 'Ivan Lyubeznov')]",['SUHH'],65,['1944']
Мужество,tt0031687,flm0000023,https://www.imdb.com/title/tt0031687/,"[('nm0435563', 'Mikhail Kalatozov')]","[('nm11414686', 'Georgiy Kubanskiy')]","[('nm0620473', 'Zula Nakhashkiyev'), ('nm1135397', 'Aleksey Bondi'), ('nm11414684', 'Tamara Nagayeva'), ('nm0882215', 'Nikolai Urvantsev'), ('nm0631640', 'Pyotr Nikashin'), ('nm1854675', 'Fyodor Fedorovskiy'), ('nm0815122', 'Konstantin Sorokin'), ('nm0415991', 'Oleg Zhakov'), ('nm0240190', 'Dmitri Dudnikov'), ('nm0073092', 'Aleksandr Benyaminov')]",['SUHH'],73,['1939']
Извержение Везувия,,flm0000024,,,,,,,
Яков Свердлов,tt0033277,flm0000025,https://www.imdb.com/title/tt0033277/,"[('nm0411657', 'Mariya Itina'), ('nm0951170', 'Sergei Yutkevich')]","[('nm0667698', 'Pyotr Pavlenko'), ('nm0217304', 'David Dell'), ('nm0505554', 'Borys Lewin')]","[('nm0795500', 'Maksim Shtraukh'), ('nm0270234', 'Irina Fedotova'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm0850291', 'Kseniya Tarasova'), ('nm0645613', 'Nikolai Okhlopkov'), ('nm0529376', 'Leonid Lyubashevsky'), ('nm0461964', 'Andro Kobaladze'), ('nm0900553', 'Vladimir Vladislavskiy'), ('nm0331021', 'Nikolay Gorlov'), ('nm0587711', 'Georgiy Millyar'), ('nm0623378', 'Ivan Nazarov'), ('nm0807042', 'Igor Smirnov'), ('nm0434387', 'Pavel Kadochnikov')]",['SUHH'],124,['1940']
Суворов,tt0033118,flm0000026,https://www.imdb.com/title/tt0033118/,"[('nm0699877', 'Vsevolod Pudovkin'), ('nm0231151', 'Mikhail Doller')]","[('nm0337385', 'Georgiy Grebner'), ('nm0712443', 'Nikolai Ravich')]","[('nm0003539', 'Nikolay P. Cherkasov'), ('nm7515550', 'Fyodor Ivanov'), ('nm0015582', 'Vsevolod Aksyonov'), ('nm0039951', 'Mikhail Astangov'), ('nm0031446', 'Aleksandr Antonov'), ('nm0404832', 'Aleksandr Khvylya'), ('nm0453088', 'S. Kiligin'), ('nm0470387', 'Galina Kravchenko'), ('nm0807029', 'Aleksandr Smirnov'), ('nm0944786', 'Apollon Yachnitskiy'), ('nm0468436', 'Georgi Kovrov'), ('nm0451398', 'Aleksandr Khanov'), ('nm0813507', 'Anatoliy Solovyov')]",['SUHH'],100,['1941']
Футболисты,,flm0000027,,,,,,,
Небо Москвы,tt0037122,flm0000028,https://www.imdb.com/title/tt0037122/,"[('nm0707264', 'Yuli Raizman')]","[('nm0093299', 'Manuel Bolshintsov'), ('nm0574841', 'Giorgi Mdivani'), ('nm0086452', 'Mikhail Bleiman')]","[('nm0091878', 'Nikolay Bogolyubov'), ('nm7515550', 'Fyodor Ivanov'), ('nm11648861', 'Fyodor Fedotov'), ('nm8344730', 'Elizaveta Shumskaya'), ('nm11153032', 'Nikolai Stepanov'), ('nm0945015', 'Nikolai Yakhontov'), ('nm0811868', 'Pyotr Sobolevsky'), ('nm0625843', 'Evgeniy Nemchenko'), ('nm0476731', 'Ivan Kuznetsov'), ('nm0758819', 'Aleksandra Salnikova'), ('nm1467174', 'Aleksandr Mikhaylov'), ('nm0796689', 'Mikhail Sidorkin'), ('nm0875028', 'Arkadi Tsinman'), ('nm0017835', 'Pyotr Aleynikov'), ('nm0556093', 'Nina Mazaeva'), ('nm0787869', 'Nikolai Shamin'), ('nm0017946', 'Anatoliy Alekseev'), ('nm5773452', 'Evgeniy Grigorev')]",['SUHH'],81,['1944']
Моя любовь,tt0032812,flm0000029,https://www.imdb.com/title/tt0032812/,"[('nm0466691', 'Vladimir Korsh-Sablin')]","[('nm0699305', 'Iosif Prut')]","[('nm0158689', 'Vladimir Chobur'), ('nm0471306', 'N. Krikunova'), ('nm0457144', 'Valentin Kiselyov'), ('nm0794560', 'Mariya Shlenskaya'), ('nm0780357', 'Vladimir Shishkin'), ('nm0155935', 'Feliks Chernousko'), ('nm0807074', 'Lidiya Smirnova'), ('nm11395878', 'Nikolay Trofimov'), ('nm0812465', 'Naum Sokolov'), ('nm11398754', 'David Kleymits'), ('nm0673406', 'Ivan Pereverzev'), ('nm0460305', 'Maria Klyuchareva'), ('nm0559282', 'Aleksei Matov'), ('nm0813679', 'Oleg Solyus')]",['SUHH'],80,['1940']
Новости дня № 45 1946 г.,,flm0000030,,,,,,,
Новости дня № 46 1946 г.,,flm0000031,,,,,,,
Свинарка и пастух,tt0034249,flm0000032,https://www.imdb.com/title/tt0034249/,"[('nm0701576', 'Ivan Pyrev')]","[('nm0348854', 'Viktor Gusev')]","[('nm0457606', 'Nasyr Kitayev'), ('nm0332889', 'Tatyana Govorkova'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm0008313', 'Osip Abdulov'), ('nm0480651', 'Marina Ladynina'), ('nm7259931', 'Zoya Zhukova'), ('nm0017951', 'Grigori Alekseyev'), ('nm0451954', 'Tikhon Khrennikov'), ('nm1597391', 'Ye. Schastlivtseva'), ('nm0954479', 'Vladimir Zeldin')]",['SUHH'],87,['1941']
Член правительства,tt0032337,flm0000033,https://www.imdb.com/title/tt0032337/,"[('nm0451576', 'Iosif Kheifits'), ('nm0953516', 'Aleksandr Zarkhi')]","[('nm0899066', 'Ekaterina Vinogradskaya'), ('nm0451576', 'Iosif Kheifits'), ('nm0953516', 'Aleksandr Zarkhi')]","[('nm0578197', 'Aleksandr Melnikov'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm11153032', 'Nikolai Stepanov'), ('nm0580959', 'Vasiliy Merkurev'), ('nm0882642', 'Yelizaveta Uvarova'), ('nm0088484', 'Boris Blinov'), ('nm0815122', 'Konstantin Sorokin'), ('nm0889140', 'Vasili Vanin'), ('nm0854302', 'Valentina Telegina'), ('nm1452498', 'Aleksandra Matveeva'), ('nm0546531', 'Vera Maretskaya'), ('nm0623378', 'Ivan Nazarov'), ('nm0465342', 'Aleksey Konsovskiy')]",['SUHH'],76,['1940']
Партизаны в степях Украины,tt1346998,flm0000034,https://www.imdb.com/title/tt1346998/,"[('nm0767514', 'Igor Savchenko')]","[('nm0767514', 'Igor Savchenko'), ('nm0466437', 'Aleksandr Korneychuk')]","[('nm0091878', 'Nikolay Bogolyubov'), ('nm0469946', 'Wladyslaw Krasnowiecki'), ('nm0882715', 'Natalya Uzhviy'), ('nm0158166', 'Boris Chirkov'), ('nm2174553', 'Konstantin Koshevskiy'), ('nm0460314', 'Ivan Klyukvin'), ('nm0241768', 'Anton Dunaysky'), ('nm0750276', 'Boris Runge'), ('nm0690465', 'Yevgeni Ponomarenko'), ('nm0590753', 'Dmitri Milyutenko'), ('nm0229833', 'Viktor Dobrovolsky'), ('nm0049465', 'Vladimir Balashov'), ('nm0950999', 'Terentiy Yura'), ('nm0256143', 'Larisa Yemelyantseva')]",['SUHH'],74,['1943']
Малахов Курган,tt0037043,flm0000035,https://www.imdb.com/title/tt0037043/,"[('nm0451576', 'Iosif Kheifits'), ('nm0953516', 'Aleksandr Zarkhi')]","[('nm0903911', 'Boris Voytekhov'), ('nm0451576', 'Iosif Kheifits'), ('nm0953516', 'Aleksandr Zarkhi')]","[('nm0500807', 'Zura Lejava'), ('nm0410874', 'Fyodor Ishchenko'), ('nm0233964', 'Nikolai Dorokhin'), ('nm0451815', 'Akaki Khorava'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm0864711', 'Igor Tkachuk'), ('nm0665171', 'Maria Pastukhova'), ('nm0028308', 'Boris Andreyev'), ('nm0674454', 'Yevgeny Perov'), ('nm0331021', 'Nikolay Gorlov'), ('nm0807012', 'Anatoliy Smiranin')]",['SUHH'],86,['1944']
Подводная лодка Т-9,tt1767363,flm0000036,https://www.imdb.com/title/tt1767363/,"[('nm0412017', 'Aleksandr Ivanov')]","[('nm0795479', 'Aleksandr Shtein'), ('nm0954691', 'Iogann Zeltser')]","[('nm4163374', 'Douglas Aleksandrov'), ('nm4163268', 'Aleksandr Allegrov'), ('nm3372540', 'Boris Cinkin'), ('nm0415991', 'Oleg Zhakov'), ('nm2151756', 'Kazim Ziya'), ('nm1148336', 'Ismayil Dagistanli'), ('nm1180727', 'Boris Baykov'), ('nm0788840', 'Viktor Sharlakhov'), ('nm0044772', 'Mirza Babayev')]",['SUHH'],68,['1943']
Ленин в 1918 году,tt0031564,flm0000037,https://www.imdb.com/title/tt0031564/,"[('nm0036881', 'Yefim Aron'), ('nm0739677', 'Mikhail Romm'), ('nm0799575', 'Isidor Simkov')]","[('nm0438412', 'Aleksei Kapler'), ('nm0957433', 'Taisiya Zlatogorova')]","[('nm0003540', 'Nikolay Cherkasov'), ('nm0091878', 'Nikolay Bogolyubov'), ('nm0229684', 'Z. Dobina'), ('nm0250617', 'Natalya Efron'), ('nm0548623', 'Vasiliy Markov'), ('nm0443710', 'Serafim Kozminskiy'), ('nm0645613', 'Nikolai Okhlopkov'), ('nm0312499', 'Mikheil Gelovani'), ('nm0529376', 'Leonid Lyubashevsky'), ('nm0889140', 'Vasili Vanin'), ('nm0789419', 'Aleksandr Shatov'), ('nm0616246', 'Elena Muzil'), ('nm0813539', 'Vladimir Solovyov'), ('nm0466537', 'Klavdiya Korobova'), ('nm0650115', 'Dmitriy Orlov'), ('nm0872309', 'Viktor Tretyakov'), ('nm0790229', 'Boris Shchukin'), ('nm0841358', 'Nikolai Svobodin')]",['SUHH'],130,['1939']
Ленин в Октябре,tt0029132,flm0000038,https://www.imdb.com/title/tt0029132/,"[('nm0890565', 'Dmitriy Vasilev'), ('nm0739677', 'Mikhail Romm')]","[('nm0438412', 'Aleksei Kapler')]","[('nm0468315', 'A. Kovalevsky'), ('nm0299534', 'Inna Fyodorova'), ('nm11403855', 'Viktor Ganshin'), ('nm2217394', 'Nikolay Gorich'), ('nm0789429', 'Yelena Shatrova'), ('nm0645613', 'Nikolai Okhlopkov'), ('nm0481491', 'Ivan Lagutin'), ('nm0688729', 'Vladimir Pokrovskiy'), ('nm0889140', 'Vasili Vanin'), ('nm0812465', 'Naum Sokolov'), ('nm0900553', 'Vladimir Vladislavskiy'), ('nm0466537', 'Klavdiya Korobova'), ('nm0326037', 'Semyon Goldshtab'), ('nm0790229', 'Boris Shchukin'), ('nm0841358', 'Nikolai Svobodin'), ('nm0304547', 'Vadim Ganshin'), ('nm0152266', 'Nikolai Chaplygin'), ('nm1101378', 'Nikolai Arsky')]",['SUHH'],93,['1937']
Человек с ружьем,tt0029986,flm0000039,https://www.imdb.com/title/tt0029986/,"[('nm0951170', 'Sergei Yutkevich')]","[('nm0688238', 'Nikolay Pogodin')]","[('nm0003540', 'Nikolay Cherkasov'), ('nm0795500', 'Maksim Shtraukh'), ('nm0473041', 'Nikolay Kryuchkov'), ('nm1440180', 'Dmitri Andreyev'), ('nm0158166', 'Boris Chirkov'), ('nm0076713', 'Mark Bernes'), ('nm0815356', 'Nikolai Sosnin'), ('nm0837719', 'Pavel Sukhanov'), ('nm0312499', 'Mikheil Gelovani'), ('nm0815122', 'Konstantin Sorokin'), ('nm0855016', 'Boris Tenin'), ('nm0443508', 'Stepan Kayukov'), ('nm0017835', 'Pyotr Aleynikov'), ('nm0525688', 'Vladimir Lukin'), ('nm0083643', 'Serafima Birman'), ('nm0299540', 'Zoya Fyodorova'), ('nm0155005', 'Aleksandr Chekayevskiy'), ('nm0434387', 'Pavel Kadochnikov')]",['SUHH'],88,['1938']
Оборона Царицына,tt0035142,flm0000040,https://www.imdb.com/title/tt0035142/,"[('nm0890567', 'Georgi Vasilyev'), ('nm0890574', 'Sergey Vasilev')]","[('nm0890567', 'Georgi Vasilyev'), ('nm0890574', 'Sergey Vasilev')]","[('nm0091878', 'Nikolay Bogolyubov'), ('nm0299548', 'Boris Feodosyev'), ('nm0616576', 'Varvara Myasnikova'), ('nm0456396', 'Elena Kirillova'), ('nm0955541', 'Mikhail Zharov'), ('nm0631640', 'Pyotr Nikashin'), ('nm0312499', 'Mikheil Gelovani'), ('nm0229419', 'Boris Dmokhovsky'), ('nm0340164', 'Vladimir Gremin'), ('nm0155730', 'Kirill Chepurnov'), ('nm0755938', 'Vasili Sofronov'), ('nm7239539', 'Abakumov'), ('nm0017946', 'Anatoliy Alekseev'), ('nm1030667', 'Georgiy Kranert'), ('nm0045030', 'Boris Babochkin'), ('nm0805212', 'Vladimir Sladkopevtsev'), ('nm0088480', 'Sergei Blinnikov'), ('nm0434387', 'Pavel Kadochnikov')]",['SUHH'],95,['1942']
