film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000313,Истребители,1939,96,tt0031498
flm0000314,Последний табор,1936,85,tt0027708
flm0000315,Секретарь Райкома,1942,91,tt0035304
flm0000316,Доктор Калюжный,1939,85,tt0230149
flm0000317,Клятва Тимура,1942,53,tt0034949
flm0000318,Юность Максима,1935,92,tt0027235
flm0000319,Пионерия №9 1946 г.,,,
flm0000320,Пионерия № 9 1946 г.,,,
flm0000321,Пионерия № 10 1946 г.,,,
flm0000322,Джульбарс,1936,79,tt0332012
flm0000323,Новости дня № 67 1946 г.,,,
flm0000324,Новости дня № 68 1946 г.,,,
flm0000325,Новости дня № 69 1946 г.,,,
flm0000326,На сессии Генеральной Ассамблеи Организации Объединенных Наций,,,
flm0000327,29-й октябрь,,,
flm0000328,Остров Безымянный,1946,71,tt0236558
flm0000329,Руслан и Людмила,1938,50,tt0239924
flm0000330,Новости дня № 70 1946 г.,,,
flm0000331,Новости дня № 71 1946 г.,,,
flm0000332,Большая жизнь,1939,94,tt0032268
flm0000333,Адмирал Нахимов,1947,89,tt0039132
flm0000334,Личное дело,1932,73,tt0188138
flm0000335,На сессии генеральной ассамблеи ООН. Новости дня,,,
flm0000336,Сердце родины,,,
flm0000337,Новости дня № 73 1947 г.,,,
flm0000338,Сокровища горной Шории,,,
flm0000339,Советская Эстония,1946,53,tt6697274
flm0000340,Путешествие по родному краю,,,
flm0000341,Александр Пархоменко,1942,94,tt0034443
flm0000342,От Вислы до Одера,,,
flm0000343,Разгром немецких войск под Москвой,1942,55,tt0035085
flm0000344,Семеро смелых,1936,92,tt0028237
flm0000345,К пребыванию в Москве Монтгомери,,,
flm0000346,Новости дня № 1 1947 г.,,,
flm0000347,Новости дня № 4 1947 г.,,,
flm0000348,Петр Первый 1 серия,1937,96,tt0029405
flm0000349,Болгария,,,
flm0000350,Котовский,1943,72,tt0036083
flm0000351,Первая перчатка,1947,77,tt0039699
flm0000352,Киноконцерт 1941,1943,,tt0033789
